user_id,sleep_duration,time_in_bed,light,rem,deep,time_to_fall_asleep,awake,source
660eeadebb620879aee9a54b,25050,36511,20790,2940,1320,,11461,['Oura']
66126453bb620879ae116a09,27060,32771,17190,5610,4260,,5711,['Oura']
6613bc26bb620879ae651c0c,29400,33541,19020,6510,3870,,4141,['Oura']
661658d1bb620879aeaa538c,24930,28257,15120,5820,3990,,3327,['Oura']
66192273e199c5a336effff2,25020,27021,14880,6600,3540,,2001,['Oura']
661d6b60e199c5a3364830be,28410,45389,18210,5190,5010,,16979,['Oura']
661e3657e199c5a336b3c2f1,27570,38460,18690,5340,3540,,10890,['Oura']
661e3657e199c5a336b3c2fe,27570,38460,18690,5340,3540,,10890,['Oura']
661fb9f2e199c5a3365ea25c,23430,24945,13140,5610,4680,,1515,['Oura']
661fb9f3e199c5a3365ea596,23430,24945,13140,5610,4680,,1515,['Oura']
66218f48fd3b48b1cd378d9f,29100,39360,19290,7170,2640,,10260,['Oura']
662192f5fd3b48b1cd44600b,29100,39360,19290,7170,2640,,10260,['Oura']
66225cf3fd3b48b1cd5014d9,24750,27989,14040,5400,5310,,3239,['Oura']
662591c7fd3b48b1cde7c425,28890,32136,19200,9510,180,,3246,['Oura']
6625ed63fd3b48b1cdbb835a,24510,31858,15510,5910,3090,,7348,['Oura']
662636b6fd3b48b1cd43945c,27030,28251,17250,6000,3780,,1221,['Oura']
6626b8d9fd3b48b1cdfe66fd,27720,33086,18600,6000,3120,,5366,['Oura']
6629252640eefde529ba3d94,28380,36172,18360,6210,3810,,7792,['Oura']
662a45f240eefde52940fa80,28440,30839,16620,7170,4650,,2399,['Oura']
662a45f540eefde529410673,21780,25712,14310,5160,2310,,3932,['Oura']
662b977240eefde529ba998d,27780,29586,18210,6780,2790,,1806,['Oura']
662e57db40eefde52914a79b,34170,40496,24840,6360,2970,,6326,['Oura']
6596ba15085e3f72964748a5,28463,30395,13035,9602,5825,,1932,['Whoop']
6592a975085e3f72962bd132,30973,33684,16380,8565,6027,,2710,['Whoop']
659d3573085e3f72969e7400,24628,26878,15342,4239,5046,,2249,['Whoop']
659157f4085e3f7296705b6f,28059,29818,10641,10467,6950,,1759,['Whoop']
6593faf5085e3f7296bad124,4873,8680,4873,0,0,,3806,['Whoop']
659940f6085e3f7296f7894a,28838,32039,16725,6113,5998,,3201,['Whoop']
659157f5085e3f7296705cee,28291,32530,13324,7237,7728,,4239,['Whoop']
659d3571085e3f72969e6abd,25868,33077,17274,3430,5162,,7209,['Whoop']
659e86f6085e3f72968d1cb7,30943,33856,19898,3691,7354,,2912,['Whoop']
65900674085e3f72965c7339,28607,31809,19898,2739,5969,,3201,['Whoop']
65995034085e3f72961fb888,30210,31830,19050,7050,4110,,1620,['Polar']
659554f7085e3f7296faf262,30030,32010,20010,5220,4800,,1980,['Polar']
659e951e085e3f7296bacda6,24750,26100,13560,7410,3780,,1350,['Polar']
6596a9e9085e3f72961c2267,29400,31110,18120,5790,5490,,1710,['Polar']
659fe5522448379cf3742562,26460,27900,15990,6180,4290,,1440,['Polar']
65b669520b91664454d3cf50,0,0,25080,5940,5670,,2730,['Polar']
659fe5532448379cf3742a62,26460,27900,15990,6180,4290,,1440,['Polar']
6596a9e9085e3f72961c217e,29400,31110,18120,5790,5490,,1710,['Polar']
65b2b75ce123e5924f0cc60d,27390,28980,17640,3480,6270,,1590,['Polar']
65b2536be123e5924fd78158,24930,26130,15990,4530,4410,,1200,['Polar']
66184801e199c5a33694c886,79670,50323,6840,6780,3330,0,2949,['Apple Health']
661e7e7ae199c5a3368d1162,57143,32184,0,0,0,0,1977,['Apple Health']
661f645ce199c5a3369d8a24,23670,25200,13980,5430,4260,0,1530,"['Polar', 'Apple Health']"
662202cffd3b48b1cd8815d0,25800,27300,13620,7860,4320,0,1500,"['Polar', 'Apple Health']"
66234d57fd3b48b1cd890207,17310,18450,11340,2460,3510,0,1140,"['Polar', 'Apple Health']"
6626b911fd3b48b1cdff324e,50666,70006,26293,14542,9830,0,1937,['Apple Health']
6626b911fd3b48b1cdff3295,27554,28482,13290,7140,7123,0,912,['Apple Health']
6627ec9340eefde529e51e75,0,22985,0,0,0,0,0,['Apple Health']
6628ca2d40eefde529841450,53116,27650,0,0,0,0,1462,['Apple Health']
6628ca2e40eefde5298416e9,48069,25447,0,0,0,0,2265,['Apple Health']
6628ca2f40eefde5298417ea,68262,35720,0,0,0,0,2927,['Apple Health']
66291f7d40eefde529a23eff,6983,6988,2093,0,4889,0,0,['Apple Health']
66291f7e40eefde529a241e8,11403,13971,4639,1875,4889,0,2558,['Apple Health']
662a34ea40eefde5290d1003,0,30300,0,0,0,0,0,['Apple Health']
662c3af940eefde52948e1bd,46681,77281,25024,10949,10707,0,270,['Apple Health']
662cc2ef40eefde5297cc205,18452,18456,5391,1935,715,0,2910,['Apple Health']
662cc2f040eefde5297cc407,18452,41353,5391,1935,715,0,2910,['Apple Health']
662d45bb40eefde52941f938,26383,26399,14069,5980,6333,0,0,['Apple Health']
662d45bc40eefde52941fd3a,26047,26064,13548,6165,6333,0,0,['Apple Health']
662e114340eefde5295fa45e,68493,35889,0,0,0,0,2724,['Apple Health']
66087279bb620879aef5fe19,,23340,,,,0,,['Fitbit']
6609c103bb620879ae7c2e0e,,27480,,,,0,,['Fitbit']
660b23d2bb620879ae8947e7,,25800,,,,0,,['Fitbit']
660be56ebb620879aee2d577,,24660,,,,0,,['Fitbit']
660c47dcbb620879ae209f86,,27240,,,,0,,['Fitbit']
660c6400bb620879ae7b5f9b,,27240,,,,0,,['Fitbit']
660e6c60bb620879ae66af14,,26340,,,,0,,['Fitbit']
660f0706bb620879ae4ac384,,25560,,,,0,,['Fitbit']
6612df5cbb620879ae58016a,,27900,,,,0,,['Fitbit']
661430dcbb620879aee18320,,24000,,,,0,,['Fitbit']
66159323bb620879aee05b22,,25800,,,,0,,['Fitbit']
66159e84bb620879ae077a6b,,24480,,,,0,,['Fitbit']
66165988bb620879aeab7d9a,,28380,,,,0,,['Fitbit']
66167f7dbb620879aefe6b1c,,26940,,,,0,,['Fitbit']
6616d3dbbb620879ae3abf3e,,23220,,,,0,,['Fitbit']
6616d3dbbb620879ae3abf72,,23220,,,,0,,['Fitbit']
6619227de199c5a336f02947,,24660,,,,0,,['Fitbit']
66195f6fe199c5a336032c69,,5040,,,,0,,['Fitbit']
661be0e9e199c5a336889fe4,,28440,,,,0,,['Fitbit']
661e687de199c5a33637a858,,27600,,,,0,,['Fitbit']
66210b7de199c5a3366ec304,,26940,,,,0,,['Fitbit']
66217c0afd3b48b1cdf1a07f,,32160,,,,0,,['Fitbit']
662402dcfd3b48b1cd935db4,,22920,,,,0,,['Fitbit']
6626a5dcfd3b48b1cdb7c0d5,,16440,,,,0,,['Fitbit']
6626c206fd3b48b1cd1eb7f3,,16440,,,,0,,['Fitbit']
6627165dfd3b48b1cd07969f,,19860,,,,0,,['Fitbit']
6627f75b40eefde529117b9a,,22860,,,,0,,['Fitbit']
662a9a5c40eefde529b29e0e,,23940,,,,0,,['Fitbit']
662a9a5e40eefde529b2a3e7,,23940,,,,0,,['Fitbit']
662cdaef40eefde529b00bcb,,28320,,,,0,,['Fitbit']
66083b3bbb620879ae47eee8,31800,,19860,6540,5400,,1620,['Garmin']
66091e9fbb620879ae3faaf6,28676,,18804,6404,3468,,2456,['Garmin']
660add8cbb620879aeb392da,35531,,23330,8994,3207,,898,['Garmin']
660ba8ffbb620879ae8250f7,3510,,2118,246,1146,,0,['Garmin']
660e0494bb620879aea87429,27008,,16668,4870,5470,,508,['Garmin']
660e049bbb620879aea88316,27008,,16668,4870,5470,,508,['Garmin']
660e057abb620879aeaa35a0,22340,,15060,2150,5130,,760,['Garmin']
6611676fbb620879ae6b2c32,11280,,6180,3000,2100,,120,['Garmin']
6616290ebb620879ae57f970,21180,,12660,3600,4920,,420,['Garmin']
66176a73bb620879aefa2ae7,25666,,15499,3472,6695,,866,['Garmin']
6618c016e199c5a336078a4a,24604,,13052,3648,7904,,0,['Garmin']
661a1450e199c5a3366f39aa,25022,,15054,5884,4084,,526,['Garmin']
661a291ee199c5a3369b9110,1984,,572,0,1412,,0,['Garmin']
661d308be199c5a33659f94c,18360,,9540,3960,4860,,120,['Garmin']
661e9db3e199c5a336118289,17160,,10440,1200,5520,,2640,['Garmin']
661f4a40e199c5a33667cae4,24052,,13136,4948,5968,,0,['Garmin']
662067d8e199c5a336e39007,22680,,18660,1020,3000,,720,['Garmin']
6620686ee199c5a336e54cf3,18388,,11904,976,5508,,1744,['Garmin']
66209ba0e199c5a33677cbde,21408,,14668,1516,5224,,948,['Garmin']
6620be83e199c5a336c38c8f,31620,,20100,7680,3840,,1260,['Garmin']
6625049afd3b48b1cd341256,20505,,14288,1682,4535,,391,['Garmin']
6625ed5bfd3b48b1cdbb73e1,28254,,20682,3024,4548,,564,['Garmin']
66268167fd3b48b1cd30ca6b,27735,,20896,3068,3771,,0,['Garmin']
66276a47fd3b48b1cdc33bc9,38460,,31260,2220,4980,,540,['Garmin']
6629124140eefde529696c87,25560,,19380,5340,840,,1380,['Garmin']
662c950840eefde5291b2580,25326,,19314,2436,3576,,2070,['Garmin']
662d972240eefde5294d7333,783,,783,0,0,,0,['Garmin']
662de16440eefde529f9c9af,24186,,17556,3354,3276,,2052,['Garmin']
662e507240eefde529fc1a83,22779,,15035,2851,4893,,60,['Garmin']
662e50dc40eefde529fda355,20165,,11795,1825,6545,,855,['Garmin']
65f2ddd9281a306e70c0becb,,28800,,,,,,['Health Connect']
66139b40bb620879ae27d8ce,,28800,,,,,540,['Health Connect']
66139b41bb620879ae27db0e,,28800,,,,,,['Health Connect']
66139b45bb620879ae27e1cd,,28800,,,,,,['Health Connect']
